Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,SMA50,SMA200,RSI14,ATR14,cross_above_50,entry_signal,exit_signal
1502928000000,2017-08-17,BTCUSDT,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,,,,,False,False,False
1503014400000,2017-08-18,BTCUSDT,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,,,,,False,False,False
1503100800000,2017-08-19,BTCUSDT,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,,,,,False,False,False
1503187200000,2017-08-20,BTCUSDT,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,,,,,False,False,False
1503273600000,2017-08-21,BTCUSDT,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,,,,,False,False,False
1503360000000,2017-08-22,BTCUSDT,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,,,,,False,False,False
1503446400000,2017-08-23,BTCUSDT,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,,,,,False,False,False
1503532800000,2017-08-24,BTCUSDT,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,,,,,False,False,False
1503619200000,2017-08-25,BTCUSDT,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,,,,,False,False,False
1503705600000,2017-08-26,BTCUSDT,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,,,,,False,False,False
1503792000000,2017-08-27,BTCUSDT,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,,,,,False,False,False
1503878400000,2017-08-28,BTCUSDT,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,,,,,False,False,False
1503964800000,2017-08-29,BTCUSDT,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,,,,,False,False,False
1504051200000,2017-08-30,BTCUSDT,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,,,,276.40045068956204,False,False,False
1504137600000,2017-08-31,BTCUSDT,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,,,36.96084210305682,270.24898992602186,False,False,False
1504224000000,2017-09-01,BTCUSDT,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,,,41.05849261853065,267.42191921702033,False,False,False
1504310400000,2017-09-02,BTCUSDT,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,,,33.35871427184162,294.9146392729474,False,False,False
1504396800000,2017-09-03,BTCUSDT,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,,,34.701566410176326,303.5943078963083,False,False,False
1504483200000,2017-09-04,BTCUSDT,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,,,27.979484750355866,321.5504287608577,False,False,False
1504569600000,2017-09-05,BTCUSDT,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,,,36.59428736313786,361.5818267065107,False,False,False
1504656000000,2017-09-06,BTCUSDT,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,,,43.513896896808326,359.1552676560457,False,False,False
1504742400000,2017-09-07,BTCUSDT,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,,,45.33598975803143,358.5298913948996,False,False,False
1504828800000,2017-09-08,BTCUSDT,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,,,37.853087518393615,383.38204200954965,False,False,False
1504915200000,2017-09-09,BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,,,37.46232302498828,375.7518961517247,False,False,False
1505001600000,2017-09-10,BTCUSDT,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,,,35.35779967225821,383.3410464266015,False,False,False
1505088000000,2017-09-11,BTCUSDT,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147,4228,,,37.65141746873531,372.7824002532729,False,False,False
1505174400000,2017-09-12,BTCUSDT,4208.6,4394.59,4040.8,4163.72,879.630319,3725190.62328952,6501,,,36.84472695387494,371.425800235182,False,False,False
1505260800000,2017-09-13,BTCUSDT,4159.72,4165.38,3760.0,3944.69,913.462545,3570365.92571669,5019,,,33.10597038716648,373.8511002183833,False,False,False
1505347200000,2017-09-14,BTCUSDT,3944.0,3993.0,3165.13,3189.02,1665.021543,5914261.40460825,9066,,,24.041738964039453,406.28102163135594,False,False,False
1505433600000,2017-09-15,BTCUSDT,3188.01,3856.0,2817.0,3700.0,1968.866492,6588767.18669446,10445,,,36.668715264457234,451.4752343719734,False,False,False
1505520000000,2017-09-16,BTCUSDT,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,,,36.99870150120946,453.46557477397533,False,False,False
1505606400000,2017-09-17,BTCUSDT,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,,,36.7921124332794,438.87446229011994,False,False,False
1505692800000,2017-09-18,BTCUSDT,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,,,44.293636191731586,438.4691435551114,False,False,False
1505779200000,2017-09-19,BTCUSDT,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,,,42.277999032465345,425.65420472974625,False,False,False
1505865600000,2017-09-20,BTCUSDT,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,,,42.112196354462384,411.39890439190725,False,False,False
1505952000000,2017-09-21,BTCUSDT,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,,,37.53332821691593,406.5132683639139,False,False,False
1506038400000,2017-09-22,BTCUSDT,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,,,37.3205609504941,394.9373206236343,False,False,False
1506124800000,2017-09-23,BTCUSDT,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511,8402,,,41.942464452840845,386.31894057908903,False,False,False
1506211200000,2017-09-24,BTCUSDT,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041,8724,,,39.87894566055607,370.6697305377255,False,False,False
1506297600000,2017-09-25,BTCUSDT,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322,9740,,,46.086478341694026,367.49189264217364,False,False,False
1506384000000,2017-09-26,BTCUSDT,3928.0,3976.99,3850.05,3882.35,526.727987,2061195.57868009,7971,,,45.343910224768095,350.3096145963041,False,False,False
1506470400000,2017-09-27,BTCUSDT,3882.36,4249.94,3872.81,4193.0,628.170966,2554629.81447101,8373,,,52.071797871145336,352.22535641085375,False,False,False
1506556800000,2017-09-28,BTCUSDT,4192.11,4300.0,4101.0,4174.5,849.785325,3553178.87037354,11426,,,51.663936364851516,341.2806880957928,False,False,False
1506643200000,2017-09-29,BTCUSDT,4178.98,4263.86,3952.01,4174.69,1602.309565,6571746.35900076,14834,,,51.66812343618323,339.17849608895045,False,False,False
1506729600000,2017-09-30,BTCUSDT,4175.0,4380.0,4138.1,4378.51,720.353183,3088354.40084536,9324,,,56.064846464456494,332.23003208259684,False,False,False
1506816000000,2017-10-01,BTCUSDT,4378.49,4406.52,4240.04,4378.48,726.963685,3137143.89184457,9816,,,56.06403804088835,320.3907440766971,False,False,False
1506902400000,2017-10-02,BTCUSDT,4400.0,4561.63,4360.0,4380.0,655.756974,2905282.77570845,8185,,,56.098578962698014,311.90783378550447,False,False,False
1506988800000,2017-10-03,BTCUSDT,4380.0,4467.33,4180.8,4310.0,1082.323563,4627422.74283879,12379,,,53.993378658990856,310.0951313722541,False,False,False
1507075200000,2017-10-04,BTCUSDT,4314.9,4373.0,4142.0,4208.59,868.465101,3676415.10054891,11006,,,51.00703964216106,304.4454791313788,False,False,False
1507161600000,2017-10-05,BTCUSDT,4208.59,4355.0,4110.0,4292.43,779.138638,3295532.82397779,9158,4159.1842,,53.306420654339206,300.1993734791375,False,False,False
1507248000000,2017-10-06,BTCUSDT,4318.99,4417.0,4292.0,4369.0,506.529176,2212035.12414239,6546,4160.8626,,55.366710015391696,287.685132516342,False,False,False
1507334400000,2017-10-07,BTCUSDT,4369.0,4479.5,4312.56,4423.0,297.5975,1302533.21459281,4804,4167.155199999999,,56.81392994464857,279.0604801937461,False,False,False
1507420800000,2017-10-08,BTCUSDT,4425.0,4658.0,4425.0,4640.0,518.462004,2347356.46944654,7580,4177.1556,,62.12818517272411,275.91330303704996,False,False,False
1507507200000,2017-10-09,BTCUSDT,4640.0,4889.98,4550.0,4786.95,646.463145,3040508.90436387,10372,4191.1688,,65.24697346622571,280.4894956772606,False,False,False
1507593600000,2017-10-10,BTCUSDT,4786.95,4960.0,4680.59,4783.06,1043.221773,5044283.86347582,11967,4206.51,,65.09415477892567,280.41238884317056,False,False,False
1507680000000,2017-10-11,BTCUSDT,4783.06,4881.61,4710.0,4821.43,753.429396,3609240.90903919,5895,4222.1386,,65.94151543390231,272.64078964008695,False,False,False
1507766400000,2017-10-12,BTCUSDT,4821.43,5439.99,4810.16,5430.0,1276.701482,6659759.29119366,8030,4248.4583999999995,,75.92431274114065,298.15430466579505,False,False,False
1507852800000,2017-10-13,BTCUSDT,5439.99,5846.17,5379.84,5649.98,1879.82762,10597340.30104987,11663,4275.1378,,78.39000535303111,310.16685433252394,False,False,False
1507939200000,2017-10-14,BTCUSDT,5650.0,5900.0,5580.01,5869.99,970.759046,5533972.4859947,6259,4306.924,,80.53692416808494,310.8685075944865,False,False,False
1508025600000,2017-10-15,BTCUSDT,5855.03,5922.3,5400.01,5709.99,1343.523375,7553650.20132813,7452,4334.375,,74.7228988379638,325.9700427663089,False,False,False
1508112000000,2017-10-16,BTCUSDT,5710.0,5788.91,5585.19,5760.02,1528.996462,8701914.79553535,9153,4363.3752,,75.32279091314493,317.2378968544297,False,False,False
1508198400000,2017-10-17,BTCUSDT,5760.0,5774.98,5508.63,5595.0,1429.869376,8041662.31881055,9755,4387.5414,,69.466631858075,313.6030470791133,False,False,False
1508284800000,2017-10-18,BTCUSDT,5595.0,5596.0,5037.95,5512.06,2317.804373,12456909.97604373,14824,4406.032999999999,,66.66137359508598,331.0635437163195,False,False,False
1508371200000,2017-10-19,BTCUSDT,5513.0,5710.0,5490.26,5683.9,1881.722107,10609368.77338359,11553,4428.6082,,69.41700740079743,323.11186202229663,False,False,False
