Date,Equity,Peak,Drawdown
2018-03-04,10000.0,10000.0,0.0
2018-03-05,10000.0,10000.0,0.0
2018-03-06,10000.0,10000.0,0.0
2018-03-07,10000.0,10000.0,0.0
2018-03-08,10000.0,10000.0,0.0
2018-03-09,10000.0,10000.0,0.0
2018-03-10,10000.0,10000.0,0.0
2018-03-11,10000.0,10000.0,0.0
2018-03-12,10000.0,10000.0,0.0
2018-03-13,10000.0,10000.0,0.0
2018-03-14,10000.0,10000.0,0.0
2018-03-15,10000.0,10000.0,0.0
2018-03-16,10000.0,10000.0,0.0
2018-03-17,10000.0,10000.0,0.0
2018-03-18,10000.0,10000.0,0.0
2018-03-19,10000.0,10000.0,0.0
2018-03-20,10000.0,10000.0,0.0
2018-03-21,10000.0,10000.0,0.0
2018-03-22,10000.0,10000.0,0.0
2018-03-23,10000.0,10000.0,0.0
2018-03-24,10000.0,10000.0,0.0
2018-03-25,10000.0,10000.0,0.0
2018-03-26,10000.0,10000.0,0.0
2018-03-27,10000.0,10000.0,0.0
2018-03-28,10000.0,10000.0,0.0
2018-03-29,10000.0,10000.0,0.0
2018-03-30,10000.0,10000.0,0.0
2018-03-31,10000.0,10000.0,0.0
2018-04-01,10000.0,10000.0,0.0
2018-04-02,10000.0,10000.0,0.0
2018-04-03,10000.0,10000.0,0.0
2018-04-04,10000.0,10000.0,0.0
2018-04-05,10000.0,10000.0,0.0
2018-04-06,10000.0,10000.0,0.0
2018-04-07,10000.0,10000.0,0.0
2018-04-08,10000.0,10000.0,0.0
2018-04-09,10000.0,10000.0,0.0
2018-04-10,10000.0,10000.0,0.0
2018-04-11,10000.0,10000.0,0.0
2018-04-12,10000.0,10000.0,0.0
2018-04-13,10000.0,10000.0,0.0
2018-04-14,10000.0,10000.0,0.0
2018-04-15,10000.0,10000.0,0.0
2018-04-16,10000.0,10000.0,0.0
2018-04-17,10000.0,10000.0,0.0
2018-04-18,10000.0,10000.0,0.0
2018-04-19,10000.0,10000.0,0.0
2018-04-20,10000.0,10000.0,0.0
2018-04-21,10000.0,10000.0,0.0
2018-04-22,10000.0,10000.0,0.0
2018-04-23,10000.0,10000.0,0.0
2018-04-24,10000.0,10000.0,0.0
2018-04-25,10000.0,10000.0,0.0
2018-04-26,10000.0,10000.0,0.0
2018-04-27,10000.0,10000.0,0.0
2018-04-28,10000.0,10000.0,0.0
2018-04-29,10000.0,10000.0,0.0
2018-04-30,10000.0,10000.0,0.0
2018-05-01,10000.0,10000.0,0.0
2018-05-02,10000.0,10000.0,0.0
2018-05-03,10000.0,10000.0,0.0
2018-05-04,10000.0,10000.0,0.0
2018-05-05,10000.0,10000.0,0.0
2018-05-06,10000.0,10000.0,0.0
2018-05-07,10000.0,10000.0,0.0
2018-05-08,10000.0,10000.0,0.0
2018-05-09,10000.0,10000.0,0.0
2018-05-10,10000.0,10000.0,0.0
2018-05-11,10000.0,10000.0,0.0
2018-05-12,10000.0,10000.0,0.0
2018-05-13,10000.0,10000.0,0.0
2018-05-14,10000.0,10000.0,0.0
2018-05-15,10000.0,10000.0,0.0
2018-05-16,10000.0,10000.0,0.0
2018-05-17,10000.0,10000.0,0.0
2018-05-18,10000.0,10000.0,0.0
2018-05-19,10000.0,10000.0,0.0
2018-05-20,10000.0,10000.0,0.0
2018-05-21,10000.0,10000.0,0.0
2018-05-22,10000.0,10000.0,0.0
2018-05-23,10000.0,10000.0,0.0
2018-05-24,10000.0,10000.0,0.0
2018-05-25,10000.0,10000.0,0.0
2018-05-26,10000.0,10000.0,0.0
2018-05-27,10000.0,10000.0,0.0
2018-05-28,10000.0,10000.0,0.0
2018-05-29,10000.0,10000.0,0.0
2018-05-30,10000.0,10000.0,0.0
2018-05-31,10000.0,10000.0,0.0
2018-06-01,10000.0,10000.0,0.0
2018-06-02,10000.0,10000.0,0.0
2018-06-03,10000.0,10000.0,0.0
2018-06-04,10000.0,10000.0,0.0
2018-06-05,10000.0,10000.0,0.0
2018-06-06,10000.0,10000.0,0.0
2018-06-07,10000.0,10000.0,0.0
2018-06-08,10000.0,10000.0,0.0
2018-06-09,10000.0,10000.0,0.0
2018-06-10,10000.0,10000.0,0.0
2018-06-11,10000.0,10000.0,0.0
2018-06-12,10000.0,10000.0,0.0
2018-06-13,10000.0,10000.0,0.0
2018-06-14,10000.0,10000.0,0.0
