signal_date,entry_date,exit_date,entry_price,exit_price,qty_btc,stop_loss,take_profit,gross_pnl,entry_fee,exit_fee,net_pnl,exit_reason
2019-08-03,2019-08-04,2019-08-13,10822.26843,10887.263644999999,0.10062107603858257,9828.440854933564,12809.92358013287,6.539888470658923,1.0889482946049815,1.0954881830756407,4.355451992978301,Trend Exit
2019-08-19,2019-08-20,2019-08-21,10920.187365,9958.816293559594,0.10460548635732274,9963.79819265592,12832.96570968816,-100.56468849788413,1.1423115104289157,1.0417468219310315,-102.74874683024407,Stop Loss
2019-09-03,2019-09-04,2019-09-06,10617.155925,10293.580635,0.12488171434409218,9824.277099051118,12202.913576897763,-40.408636934586646,1.3258886333725357,1.285479996437949,-43.02000556439713,Trend Exit
2019-09-07,2019-09-08,2019-09-09,10461.127949999998,10297.96844,0.12771330696160177,9689.196901142073,12004.990047715846,-20.83764058433424,1.3360252450429417,1.3151876044586075,-23.488853433835786,Trend Exit
2020-06-22,2020-06-23,2020-06-24,9690.532845,9291.841755,0.18084947592877332,9146.705012729255,10778.18850954149,-72.10307468397144,1.7525277864888147,1.6804247118048432,-75.5360271822651,Trend Exit
2020-07-08,2020-07-09,2020-07-10,9440.77803,9283.69583,0.23726549262020888,9029.442959265361,10263.448171469274,-37.27018556486592,2.239970850005995,2.202700664441129,-41.712857079313046,Trend Exit
2020-07-21,2020-07-22,2020-07-26,9394.695,9995.705501298036,0.3207153434348394,9091.689572887426,10000.705854225149,192.75328933174478,3.0130228333905684,3.2057761227223134,186.5344903756319,Take Profit
2020-10-08,2020-10-09,2020-10-20,10930.90272,11856.662751493011,0.2126108325606253,10465.057055741367,11862.594048517269,196.82661104707984,2.3240283279384033,2.5208549389854835,191.98172778015595,Take Profit
2021-04-30,2021-05-01,2021-05-02,57726.098625,56549.920895,0.019005665050529863,52413.80613051703,68350.68361396594,-22.35403997627247,1.0971228951406025,1.07476885516433,-24.525931726577404,Trend Exit
2021-05-03,2021-05-04,2021-05-06,57197.974695,56365.48316,0.020760151442852707,52346.44975499304,66901.02457501391,-17.282650341492786,1.187438616892657,1.170155966551164,-19.640244924936606,Trend Exit
2021-05-07,2021-05-08,2021-05-10,57344.147744999995,55788.23193,0.01963162627445902,52223.737004252944,67584.9692264941,-30.545157794600183,1.1257588775572018,1.0952137197626017,-32.76613039191999,Trend Exit
2021-10-01,2021-10-02,2021-10-10,48165.67079999999,56355.93007065813,0.024382775947919363,44056.445134138,56384.12213172398,199.70125675182675,1.174412759497642,1.3741140162494685,197.15272997607963,Take Profit
2023-03-13,2023-03-14,2023-03-17,24124.326135,27283.732780350372,0.06439588674551083,22537.798466957043,27297.381471085915,203.4527925169969,1.553507373601227,1.756960166118224,200.14232497727744,Take Profit
2023-05-02,2023-05-03,2023-05-07,28684.184924999998,28415.88495,0.06309700580735196,27033.278072181492,31985.998630637012,-16.928925080687264,1.8098861827918824,1.7929572577111952,-20.53176852119034,Trend Exit
2023-06-20,2023-06-21,2023-06-23,28322.154,31101.61216969705,0.07439093980794406,26924.645622462704,31117.17075507459,206.76650540063181,2.106911653445322,2.313678158845954,202.34591558834055,Take Profit
2023-08-01,2023-08-02,2023-08-03,29720.842995,29179.04318,0.10659888928418293,28726.59791925807,31709.333146483852,-57.755258493375635,3.1682088518565887,3.1104535933632134,-64.03392093859544,Trend Exit
2024-01-29,2024-01-30,2024-01-31,43324.36135499999,42558.71,0.04308389972440922,40879.24653914481,48214.59098671035,-32.98724620267781,1.8665824402428899,1.833595194040212,-36.68742383696091,Trend Exit
2024-02-01,2024-02-02,2024-02-04,43104.491474999995,42561.58856,0.04439624118514786,40739.91725654744,47833.63991190512,-24.10284875445977,1.9136773996872496,1.88957455093279,-27.906100705079808,Trend Exit
2024-02-06,2024-02-07,2024-02-09,43120.50947999999,47201.18610138434,0.05101938278184971,41068.36496968266,47224.79850063465,208.19360255535304,2.199981778908499,2.408175381463852,203.5854453949807,Take Profit
2024-05-15,2024-05-16,2024-06-18,66239.61325499999,65142.73234,0.025179889740161703,62000.714600123836,74717.4105647523,-27.619340497787356,1.6679061581918535,1.6402868176940661,-30.927533473673275,Trend Exit
2024-07-15,2024-07-16,2024-08-02,64756.422029999994,61467.58083500001,0.028754796141038194,61055.27510157938,72158.71588684124,-94.56995810247305,1.8620577142956845,1.7674877561932114,-98.19950357296194,Trend Exit
2025-01-02,2025-01-03,2025-01-07,97033.28239499999,96906.13269500001,0.018643077611379528,91377.3637437429,108345.11969751416,-2.370461725363249,1.8089990145768915,1.8066285528515285,-5.98608929279167,Trend Exit
2025-01-15,2025-01-16,2025-02-02,100547.598675,97651.739705,0.01903942630485266,95012.5648037721,111617.66641745581,-55.13549344856155,1.9143685951025635,1.8592331016540018,-58.90909514531811,Trend Exit
2025-02-03,2025-02-04,2025-02-05,101379.17425499999,96564.123785,0.01508616895072728,94432.76003433717,115272.00269632562,-72.64066489669861,1.5294233508961514,1.4567826859994528,-75.62687093359422,Trend Exit
2025-06-23,2025-06-24,2025-07-01,105386.60697,105628.29943,0.020909989934802992,100411.06608501113,115337.6887399777,5.053786905917893,2.203632891005739,2.2086866779116567,0.6414673370004977,Trend Exit
2025-07-02,2025-07-03,2025-07-11,108904.014795,117068.51671133953,0.025305629646151996,104792.48206676736,117127.08025146526,206.60786174018648,2.7558846653813274,2.9624925271215137,200.88948454768362,Take Profit
2025-08-22,2025-08-23,2025-08-24,116994.468,112351.8971238584,0.023123710635890003,112408.10117444562,126167.20165110874,-107.3534655465084,2.705346224031892,2.597992758485384,-112.65680452902569,Stop Loss
2025-09-11,2025-09-12,2025-09-22,115540.43134499999,112594.66450500001,0.025761059513457606,111467.33601116636,123686.62201266724,-75.88607487800948,2.9764439280891075,2.9005578532110983,-81.76307665930969,Trend Exit
2025-09-29,2025-09-30,2025-10-03,114369.12598499999,121439.68047949192,0.02919791672585165,110803.47363008032,121500.43069483934,206.4454613357713,3.339340216518466,3.545785677854237,199.5603354413986,Take Profit
2025-10-26,2025-10-27,2025-10-28,114616.689705,112842.00077500001,0.01852815923640703,108889.98892847584,126070.09125804831,-32.881719090128605,2.1236362780040943,2.0907545589139653,-37.09610992704666,Trend Exit
